
('Silver I ', '5', '0', '2.4', '19', '42', '47', '43.1k', '0', '99', '247', '41.0k', 'Shaco', 'Ezreal', 'Kennen')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', "Kog'Maw", 'Corki', 'Tristana')
('Silver IV ', '24', '4', '11.7', '77', '157', '211', '205.0k', '0', '322', '1.5k', '244.3k', 'Thresh', 'Braum', 'Jayce')
('Silver II ', '47', '1', '23.4', '458', '199', '381', '616.6k', '0', '389', '8.6k', '1.1m', 'Thresh', 'Poppy', 'Alistar')
('Silver II ', '15', '0', '7.3', '167', '73', '121', '200.4k', '1', '121', '2.5k', '357.8k', 'Nasus', 'Gnar', 'Thresh')
('Silver II ', '18', '0', '9.3', '118', '95', '140', '237.0k', '0', '183', '3.9k', '386.5k', 'Malzahar', 'Soraka', 'Warwick')
('Silver II ', '401', '14', '8.6', '2.6k', '2.6k', '3.2k', '4.6m', '1', '3.7k', '60.2k', '7.3m', 'Poppy', 'Ashe', 'Riven')
('Silver IV ', '29', '1', '15.0', '269', '170', '208', '379.4k', '0', '312', '4.9k', '709.1k', "Cho'Gath", 'Garen', 'Janna')
('Silver IV ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Yasuo', 'Darius', 'Vayne')
('Silver III ', '12', '1', '6.0', '65', '77', '87', '119.3k', '0', '113', '1.5k', '233.3k', 'Lux', 'Aurelion Sol', 'Vayne')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Sona', 'Morgana', 'Janna')
('Silver IV ', '1', '0', '23.0', '1', '8', '2', '5.3k', '0', '12', '8', '4.3k', 'Soraka', 'Thresh', 'Ezreal')
('Unranked ', '3', '0', '1.3', '15', '10', '19', '27.4k', '0', '24', '442', '48.3k', 'Zed', 'Shaco', 'Yasuo')
('Unranked ', '1', '0', '20.7', '13', '2', '2', '11.1k', '0', '3', '163', '18.5k', 'Thresh', 'Zoe', 'Teemo')
('Silver III ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Blitzcrank', 'Alistar', 'Lux')
('Silver I ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Draven', 'Yasuo', 'Lucian')
