
('Platinum IV ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Sivir', 'Viktor', 'Graves')
('Platinum III ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Katarina', 'Yasuo', 'Orianna')
('Platinum III ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Ekko', 'Rengar', 'Ezreal')
('Platinum III ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Thresh', 'Janna', 'Bard')
('Platinum III ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Lee Sin', 'Yasuo', 'Vayne')
('Platinum IV ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Yasuo', 'Malzahar', 'Xin Zhao')
('Platinum III ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Darius', 'Jax', 'Master Yi')
('Platinum IV ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Thresh', 'Zed', 'Katarina')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Gnar', 'Rumble', 'Ezreal')
('Platinum III ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Katarina', 'Azir', 'Annie')
('Platinum III ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Karma', 'Talon', 'Zed')
('Platinum I ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Braum', 'Janna', 'Lucian')
('Platinum IV ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Lee Sin', 'Nami', 'Vayne')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Aatrox', 'Ahri', 'Akali')
('Platinum I ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Tristana', 'Caitlyn', 'Ezreal')
('Platinum II ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Yasuo', 'Ekko', 'Vayne')
('Platinum IV ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Volibear', 'Janna', 'Xin Zhao')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Jax', 'Yasuo', 'Zed')
('Platinum I ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Teemo', 'Leona', 'Rammus')
('Platinum I ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Braum', 'Sona', 'Nami')
('Platinum III ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Singed', 'Evelynn', 'Jax')
('Platinum III ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', "Kai'Sa", 'Viktor', 'Teemo')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Nasus', 'Master Yi', 'Hecarim')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Katarina', 'Xin Zhao', 'Draven')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Aatrox', 'Ahri', 'Akali')
('Diamond IV ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Nunu & Willump', 'Evelynn', 'Pyke')
('Diamond II ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Shen', 'Aatrox', 'Fiora')
('Silver IV ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Yasuo', 'Lee Sin', 'Rengar')
('Diamond IV ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Udyr', 'Mordekaiser', "Kha'Zix")
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Morgana', 'Aatrox', 'Ahri')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Urgot', 'Sion', 'Malzahar')
('Diamond III ', '111', '2', '2.2', '783', '407', '676', '1.4m', '0', '954', '21.5k', '2.6m', "Cho'Gath", 'Rammus', 'Yorick')
('Diamond IV ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Illaoi', 'Renekton', 'Gangplank')
('Diamond III ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Thresh', 'Zed', 'Blitzcrank')
('Diamond IV ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Janna', 'Thresh', 'Braum')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Jinx', 'Nami', 'Corki')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Xin Zhao', 'Lee Sin', 'Udyr')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Vayne', 'Rengar', 'Riven')
('Diamond IV ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Ahri', 'Wukong', 'Orianna')
('Diamond I ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Ekko', 'Jhin', 'Janna')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Yasuo', 'Thresh', 'Lee Sin')
('Master ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Jhin', 'Jinx', 'Draven')
('Bronze I ', '62', '4', '1.3', '359', '522', '612', '674.6k', '0', '644', '7.1k', '1.3m', 'Shen', 'Leona', 'Zoe')
('Bronze IV ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Rammus', 'Kindred', 'Nunu & Willump')
('Unranked ', '2', '0', '1.1', '6', '6', '13', '19.6k', '0', '19', '251', '26.5k', 'Katarina', 'Jhin', 'Ashe')
('Bronze II ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Shyvana', 'Quinn', 'Lux')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Nami', 'Blitzcrank', 'Ashe')
('Bronze IV ', '8', '1', '4.0', '38', '45', '48', '76.5k', '0', '76', '950', '105.0k', "Kha'Zix", 'Kindred', 'Sylas')
('Bronze I ', '19', '0', '10.5', '112', '118', '237', '205.9k', '0', '352', '1.3k', '391.2k', 'Lux', 'Ahri', 'Sona')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Yasuo', 'Brand', 'Lucian')
('Bronze I ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Illaoi', 'Sion', 'Master Yi')
('Bronze III ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Jax', 'Renekton', 'Leona')
('Bronze IV ', '12', '0', '6.2', '62', '96', '130', '128.4k', '0', '157', '1.5k', '217.8k', 'Yasuo', 'Volibear', 'Blitzcrank')
('Bronze II ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Akali', 'Riven', 'Thresh')
('Bronze I ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Yasuo', 'Draven', 'Lucian')
('Bronze I ', '7', '1', '4.2', '52', '65', '65', '95.9k', '0', '62', '1.2k', '197.6k', 'Dr. Mundo', 'Sion', 'Garen')
('Unranked ', '23', '1', '11.9', '134', '141', '235', '240.7k', '0', '199', '3.0k', '452.6k', 'Veigar', 'Lux', 'Nasus')
('Bronze I ', '35', '3', '16.7', '250', '255', '226', '371.9k', '0', '247', '4.7k', '663.2k', 'Yasuo', 'Katarina', 'Xayah')
('Bronze IV ', '14', '0', '6.6', '95', '94', '126', '136.1k', '0', '119', '1000', '271.2k', 'Vayne', 'Swain', 'Talon')
('Bronze II ', '4', '0', '2.3', '30', '24', '41', '49.7k', '0', '42', '552', '91.1k', 'Sion', 'Jhin', "Kha'Zix")
('Unranked ', '3', '0', '1.5', '17', '21', '24', '28.4k', '0', '14', '306', '68.0k', 'Caitlyn', 'Anivia', 'Ahri')
('Bronze I ', '53', '4', '1.1', '234', '355', '518', '488.2k', '0', '408', '4.7k', '747.6k', 'Diana', 'Lux', 'Nami')
('Bronze I ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Amumu', 'Ashe', 'Jhin')
('Bronze IV ', '14', '0', '7.1', '95', '123', '92', '145.5k', '0', '70', '1.5k', '238.0k', 'Garen', 'Jax', 'Wukong')
('Bronze I ', '5', '0', '2.4', '55', '35', '39', '65.1k', '0', '41', '802', '119.7k', 'Jinx', 'Kayn', 'Yasuo')
('Silver II ', '14', '1', '7.3', '67', '89', '125', '148.7k', '0', '116', '1.6k', '239.4k', 'Fizz', 'Renekton', 'Tristana')
